AnioPresupuesto,CodigoIndicador,NombreIndicador,DescripcionIndicador,IndicadorFrecuencia,AñoBasePresupuesto,Avance,Meta,UnidadMedidaTotal,MetodoCalculo,DescripcionPoblacion,CodigoNivelEntidad,NombreEntidad,IdNegocioProyecto,NombreProyectoActividad,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,511,INCREMENTO PORCENTUAL DE LA MATRICULA DE LA EDUCACION MEDIA,MIDE EL AUMENTO INTERANUAL DE LA MATRICULA DE LA EDUCACION MEDIA,ANUAL,2018,5071,231189,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T)-(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)/(NUMERO TOTAL DE MATRICULADOS DE EDUCACION MEDIA EN EL A?O T-1)*100,JOVENES CON LA EDAD REGLAMENTARIA (15 - 17 A?OS)  PARA MATRICULARSE EN LA EDUCACION MEDIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2020,508,TASA DE RETENCION ESCOLAR DE LA EDUCACION MEDIA (COHORTE DE 3 A?OS DE ESCOLARIDAD),MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA RETENER A LA POBLACION MATRICULADA EN LA EDUCACION MEDIA,ANUAL,2018,70382,91645,PERSONAS,(NUMERO TOTAL DE MATRICULADOS EN EL 3? CURSO DE LA EDUCACION MEDIA EN EL A?O T)/(NUMERO TOTAL DE MATRICULADOS EN EL 1? CURSO DE LA EDUCACION MEDIA  EN EL A?O T-3)*100,MATRICULADOS EN EL PRIMER CURSO DE LA EDUCACION MEDIA EN EL A?O 2020,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
2021,517,TASA DE TRANSCISION DEL 9? GRADO DE LA EEB AL 1? CURSO DE LA EDUCACION MEDIA                      ,MIDE EL PORCENTAJE DE TRANSCISION DE LOS ESTUDIANTES DE 9?GRADO DE LA EEB AL PRIMER CURSO DE LA EDUCACION MEDIA.                                                     ,ANUAL,2018,79893,93883,PERSONAS,(NUMERO TOTAL DE ESTUDIANTES DEL 1? CURSO DE LA EDUCACION MEDIA EN EL A?O T - NUMERO TOTAL DE ESTUDIANTES REPITENTES DEL 1? CURSO DE LA EM A?O T) / (NUMERO TOTAL DE ESTUDIANTES DEL 9? GRADO DE LA EDUCACION ESCOLAR BASICA EN EL A?O T-1) * 100                    ,POBLACION DE 15 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-2-4,DIFUNDIR LAS OFERTAS EDUCATIVAS,
